distance_m,easting_m,northing_m,elevation_m_egm2008,dem_valid
10500.0,338090.8044848131,3120007.6948769423,1494.263671875,True
10530.0,338083.5998040996,3119978.5736967633,1495.3226318359375,True
10560.0,338075.5502242239,3119949.6737960055,1498.1781005859375,True
10590.0,338065.8823239858,3119921.3192233904,1496.37255859375,True
10620.0,338054.79943878925,3119893.4414606444,1506.6873779296875,True
10650.0,338043.71655359265,3119865.5636978988,1508.956787109375,True
10680.0,338032.6336683961,3119837.6859351527,1496.138671875,True
10710.0,338019.41908481653,3119811.0030525406,1500.6468505859375,True
10740.0,338001.42180341826,3119787.00101383,1495.5504150390625,True
10770.0,337983.4245220199,3119762.998975119,1502.5908203125,True
10800.0,337965.42724062165,3119738.9969364083,1492.7421875,True
10830.0,337957.2615341629,3119710.8758541285,1493.480224609375,True
10860.0,337952.7754066397,3119681.2131728632,1495.47802734375,True
10890.0,337948.28927911643,3119651.550491598,1487.2056884765625,True
10920.0,337943.8031515932,3119621.8878103327,1486.8076171875,True
10950.0,337939.31702406995,3119592.2251290674,1488.7120361328125,True
10980.0,337930.2135685967,3119564.1696735583,1495.5323486328125,True
11010.0,337915.17591836647,3119538.214814485,1484.665771484375,True
11040.0,337898.981539225,3119512.961258612,1488.1729736328125,True
11070.0,337882.7871600834,3119487.707702739,1484.404296875,True
11100.0,337868.0556080492,3119461.5875844797,1487.551513671875,True
11130.0,337853.68880052265,3119435.251395661,1481.6239013671875,True
11160.0,337839.32199299603,3119408.9152068426,1484.0718994140625,True
11190.0,337824.9551854694,3119382.579018024,1482.059814453125,True
11220.0,337810.5883779428,3119356.242829205,1488.1895751953125,True
11250.0,337796.2215704162,3119329.906640386,1480.956298828125,True
11280.0,337780.16784761136,3119304.5791681674,1483.89453125,True
11310.0,337763.76604496344,3119279.4598355745,1482.027587890625,True
11340.0,337747.3642423155,3119254.340502982,1488.395263671875,True
11370.0,337730.9624396676,3119229.2211703896,1487.10595703125,True
11400.0,337713.9677112215,3119204.522269136,1501.0224609375,True
11430.0,337695.68967831315,3119180.7333323583,1488.5308837890625,True
11460.0,337677.41164540476,3119156.944395581,1483.183837890625,True
11490.0,337659.13361249643,3119133.1554588033,1486.947998046875,True
11520.0,337647.3717163588,3119105.823498369,1476.5308837890625,True
11550.0,337637.3417226755,3119077.549849388,1476.7313232421875,True
11580.0,337630.91548807034,3119048.265366174,1476.95849609375,True
11610.0,337624.77802815946,3119018.899883276,1478.651611328125,True
11640.0,337621.5364381979,3118989.283215647,1480.579345703125,True
11670.0,337622.52601427265,3118959.2995411027,1495.710693359375,True
11700.0,337617.1440024237,3118931.669887855,1483.0379638671875,True
11730.0,337596.89776985673,3118909.531909925,1483.0379638671875,True
11760.0,337576.6515372897,3118887.3939319947,1477.491943359375,True
11790.0,337556.44680637814,3118865.2182555646,1477.19970703125,True
11820.0,337536.35064507875,3118842.943958695,1495.4920654296875,True
11850.0,337516.25448377937,3118820.6696618255,1477.129638671875,True
11880.0,337496.7100721825,3118798.037209547,1472.961181640625,True
11910.0,337484.5461750468,3118770.6138690053,1478.5206298828125,True
11940.0,337472.3822779111,3118743.1905284636,1483.5198974609375,True
11970.0,337460.2183807755,3118715.767187922,1475.821533203125,True
12000.0,337448.36626859684,3118688.21097154,1481.1065673828125,True
12030.0,337437.00918582303,3118660.443784594,1469.1796875,True
