line,chainage_km,thalweg_z,unosat_affected_cells,unosat_affected_trimline_m,unosat_affected_trimline_p25_m,unosat_affected_trimline_p75_m,unosat_affected_width_m,unosat_floodextent_cells,unosat_floodextent_trimline_m,unosat_floodextent_trimline_p25_m,unosat_floodextent_trimline_p75_m,unosat_floodextent_width_m,planet_disturbed_p50_cells,planet_disturbed_p50_trimline_m,planet_disturbed_p50_trimline_p25_m,planet_disturbed_p50_trimline_p75_m,planet_disturbed_p50_width_m
upper,30.25,1547.82568359375,96,43.5673828125,23.2208251953125,53.56201171875,172.8,96,43.5673828125,23.2208251953125,53.56201171875,172.8,69,32.590576171875,9.5904541015625,56.2789306640625,124.2
upper,30.75,1536.77490234375,101,52.908447265625,34.0640869140625,69.3973388671875,181.8,102,52.908447265625,34.0640869140625,69.3973388671875,183.6,6,12.5697021484375,8.829345703125,16.4854736328125,10.8
upper,31.25,1526.023681640625,100,82.446044921875,30.443359375,95.59912109375,180.0,98,64.3455810546875,30.443359375,93.15576171875,176.4,6,80.5162353515625,74.8760986328125,85.515869140625,10.8
upper,31.75,1510.6007080078125,101,65.3187255859375,23.7962646484375,90.296142578125,181.8,100,65.3187255859375,23.7962646484375,88.5931396484375,180.0,0,,,,0.0
upper,32.25,1495.3480224609375,95,38.6494140625,23.0009765625,95.397705078125,171.0,93,38.6494140625,23.0009765625,92.0550537109375,167.4,3,12.5478515625,7.7923583984375,20.08203125,5.4
upper,32.75,1485.517822265625,96,39.0771484375,22.056884765625,67.6309814453125,172.8,95,42.741943359375,28.923095703125,58.122314453125,171.0,50,21.637939453125,8.8702392578125,50.3262939453125,90.0
upper,33.25,1476.847412109375,107,70.5928955078125,26.874267578125,83.6439208984375,192.6,105,66.2958984375,26.41455078125,78.210205078125,189.0,34,48.265380859375,15.181884765625,63.83740234375,61.2
upper,33.75,1467.733642578125,98,55.095458984375,19.939208984375,92.3074951171875,176.4,100,72.0943603515625,21.1820068359375,92.91357421875,180.0,33,12.02099609375,5.0474853515625,30.4677734375,59.4
upper,34.25,1459.065673828125,168,56.634765625,42.330078125,75.2509765625,302.4,170,57.0513916015625,42.330078125,75.2509765625,306.0,78,38.0810546875,10.1376953125,54.916259765625,140.4
upper,34.75,1455.0135498046875,104,56.363525390625,18.7916259765625,77.106201171875,187.2,105,56.363525390625,18.7916259765625,77.106201171875,189.0,18,43.614990234375,23.3089599609375,59.9935302734375,32.4
upper,35.25,1427.607177734375,90,30.88671875,11.074951171875,87.1904296875,162.0,91,30.88671875,12.490478515625,87.1904296875,163.8,0,,,,0.0
upper,35.75,1438.9041748046875,94,39.5614013671875,13.0401611328125,62.9415283203125,169.2,94,39.5614013671875,13.0401611328125,62.581298828125,169.2,0,,,,0.0
upper,36.25,1418.9971923828125,205,67.414306640625,51.7603759765625,91.8111572265625,369.0,206,70.1851806640625,53.3863525390625,90.3475341796875,370.8,0,,,,0.0
upper,36.75,1410.4066162109375,158,61.3712158203125,52.928466796875,69.4022216796875,284.4,158,62.10205078125,51.7576904296875,68.0411376953125,284.4,41,26.4285888671875,17.7073974609375,42.8426513671875,73.8
upper,37.25,1401.8333740234375,130,99.5291748046875,64.4241943359375,209.1656494140625,234.0,130,99.5291748046875,64.4241943359375,209.1656494140625,234.0,48,27.6378173828125,14.6083984375,47.5010986328125,86.4
upper,37.75,1387.849609375,96,51.0928955078125,22.171630859375,81.30029296875,172.8,98,51.0928955078125,29.240234375,81.30029296875,176.4,50,27.02197265625,11.4324951171875,49.696044921875,90.0
upper,38.25,1380.0960693359375,91,46.1280517578125,25.8028564453125,66.6363525390625,163.8,88,42.298828125,25.8028564453125,65.1026611328125,158.4,60,27.751708984375,9.38818359375,42.4686279296875,108.0
